Linux 6.8.0-101-generic (node2.xytuang-299835.e6897-pg0.utah.cloudlab.us) 	04/19/26 	_x86_64_	(56 CPU)

11:02:26        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:29        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:30           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:30    enp23s0f0np0     42.00     41.00      7.88      5.03      0.00      0.00      0.00      0.00
11:02:30    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:30    eno12399np0    165.00      9.00     10.62      1.22      0.00      0.00      0.00      0.00
11:02:30    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:30        tunl0     41.00     41.00      6.44      3.67      0.00      0.00      0.00      0.00
11:02:30    califa14f7c081d     34.00     28.00      4.05      6.25      0.00      0.00      0.00      0.00
11:02:30    calie519df70ce6      1.00      1.00      0.06      0.19      0.00      0.00      0.00      0.00
11:02:30    cali707a268ff9b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:30    calidf3b84ec6b9      4.00      3.00      0.39      0.56      0.00      0.00      0.00      0.00
11:02:30    cali0a62d08c15c      5.00      6.00      0.42      0.50      0.00      0.00      0.00      0.00
11:02:30    califeb94a1384e     11.00     15.00      0.95      1.31      0.00      0.00      0.00      0.00

11:02:30        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:31           lo     10.00     10.00      1.31      1.31      0.00      0.00      0.00      0.00
11:02:31    enp23s0f0np0     17.00     13.00      2.03      3.28      0.00      0.00      0.00      0.00
11:02:31    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:31    eno12399np0    284.00     16.00     21.64      3.02      0.00      0.00      0.00      0.00
11:02:31    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:31        tunl0     17.00     12.00      1.47      2.80      0.00      0.00      0.00      0.00
11:02:31    califa14f7c081d      2.00      2.00      0.12      0.73      0.00      0.00      0.00      0.00
11:02:31    calie519df70ce6      1.00      1.00      0.06      0.18      0.00      0.00      0.00      0.00
11:02:31    cali707a268ff9b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:31    calidf3b84ec6b9     13.00     12.00      2.83      5.10      0.00      0.00      0.00      0.00
11:02:31    cali0a62d08c15c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:31    califeb94a1384e     18.00     24.00      3.51      2.15      0.00      0.00      0.00      0.00

11:02:31        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:32           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:32    enp23s0f0np0     23.00     18.00      2.42      1.89      0.00      0.00      0.00      0.00
11:02:32    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:32    eno12399np0    206.00      6.00     12.68      0.93      0.00      0.00      2.00      0.00
11:02:32    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:32        tunl0     23.00     18.00      1.66      1.29      0.00      0.00      0.00      0.00
11:02:32    califa14f7c081d     10.00      9.00      1.31      1.26      0.00      0.00      0.00      0.00
11:02:32    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:32    cali707a268ff9b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:32    calidf3b84ec6b9      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:32    cali0a62d08c15c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:32    califeb94a1384e     17.00     22.00      1.49      1.90      0.00      0.00      0.00      0.00

11:02:32        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:33           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:33    enp23s0f0np0     11.00      7.00      1.23      0.77      0.00      0.00      0.00      0.00
11:02:33    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:33    eno12399np0    366.00     14.00     26.75      2.68      0.00      0.00      0.00      0.00
11:02:33    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:33        tunl0     11.00      7.00      0.86      0.53      0.00      0.00      0.00      0.00
11:02:33    califa14f7c081d      2.00      2.00      0.12      0.73      0.00      0.00      0.00      0.00
11:02:33    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:33    cali707a268ff9b      1.00      1.00      0.04      0.04      0.00      0.00      0.00      0.00
11:02:33    calidf3b84ec6b9     12.00     13.00      2.56      5.19      0.00      0.00      0.00      0.00
11:02:33    cali0a62d08c15c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:33    califeb94a1384e      6.00     10.00      0.58      0.94      0.00      0.00      0.00      0.00

11:02:33        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:34           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:34    enp23s0f0np0 918725.00  25033.00 1354344.43   2422.43      0.00      0.00      0.00     11.09
11:02:34    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:34    eno12399np0    276.00      6.00     16.89      0.89      0.00      0.00      2.00      0.00
11:02:34    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:34        tunl0  38851.00  25033.00 1279225.73   1591.26      0.00      0.00      0.00      0.00
11:02:34    califa14f7c081d      5.00      4.00      0.82      0.82      0.00      0.00      0.00      0.00
11:02:34    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:34    cali707a268ff9b      1.00      1.00      0.06      0.22      0.00      0.00      0.00      0.00
11:02:34    calidf3b84ec6b9      1.00      1.00      0.06      0.21      0.00      0.00      0.00      0.00
11:02:34    cali0a62d08c15c      5.00      5.00      0.42      0.44      0.00      0.00      0.00      0.00
11:02:34    califeb94a1384e  25034.00  38850.00   1933.58 1279757.76      0.00      0.00      0.00    104.84

11:02:34        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:35           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:35    enp23s0f0np0 1524625.00  40965.00 2247974.84   3936.01      0.00      0.00      0.00     18.42
11:02:35    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:35    eno12399np0    415.00     16.00     29.41      2.81      0.00      0.00      2.00      0.00
11:02:35    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:35        tunl0  63994.00  40967.00 2123191.01   2575.95      0.00      0.00      0.00      0.00
11:02:35    califa14f7c081d      2.00      2.00      0.12      0.73      0.00      0.00      0.00      0.00
11:02:35    calie519df70ce6      1.00      1.00      0.06      0.18      0.00      0.00      0.00      0.00
11:02:35    cali707a268ff9b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:35    calidf3b84ec6b9     13.00     12.00      2.62      5.20      0.00      0.00      0.00      0.00
11:02:35    cali0a62d08c15c      5.00      5.00      0.42      0.44      0.00      0.00      0.00      0.00
11:02:35    califeb94a1384e  40967.00  63995.00   3136.06 2124195.26      0.00      0.00      0.00    174.01

11:02:35        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:36           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:36    enp23s0f0np0 1512512.00  39547.00 2230039.84   3810.11      0.00      0.00      0.00     18.27
11:02:36    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:36    eno12399np0    309.00      6.00     18.68      0.92      0.00      0.00      0.00      0.00
11:02:36    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:36        tunl0  61157.00  39544.00 2106040.00   2496.87      0.00      0.00      0.00      0.00
11:02:36    califa14f7c081d      6.00      5.00      0.91      0.89      0.00      0.00      0.00      0.00
11:02:36    calie519df70ce6      1.00      1.00      0.04      0.04      0.00      0.00      0.00      0.00
11:02:36    cali707a268ff9b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:36    calidf3b84ec6b9      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:36    cali0a62d08c15c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:36    califeb94a1384e  39540.00  61152.00   3037.27 2106745.31      0.00      0.00      0.00    172.58

11:02:36        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:37           lo     10.00     10.00      1.31      1.31      0.00      0.00      0.00      0.00
11:02:37    enp23s0f0np0 1347776.00  38500.00 1986713.24   3668.26      0.00      0.00      0.00     16.28
11:02:37    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:37    eno12399np0    328.00     16.00     24.21      2.81      0.00      0.00      2.00      0.00
11:02:37    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:37        tunl0  62296.00  38499.00 1876745.78   2389.29      0.00      0.00      0.00      0.00
11:02:37    califa14f7c081d      2.00      2.00      0.12      0.73      0.00      0.00      0.00      0.00
11:02:37    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:37    cali707a268ff9b      1.00      1.00      0.06      0.22      0.00      0.00      0.00      0.00
11:02:37    calidf3b84ec6b9     12.00     12.00      2.56      5.09      0.00      0.00      0.00      0.00
11:02:37    cali0a62d08c15c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:37    califeb94a1384e  38507.00  62305.00   2916.17 1877965.47      0.00      0.00      0.00    153.84

11:02:37        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:38           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:38    enp23s0f0np0 1016603.00  27616.00 1498199.26   2615.75      0.00      0.00      0.00     12.27
11:02:38    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:38    eno12399np0    186.00     16.00     12.13      2.69      0.00      0.00      0.00      0.00
11:02:38    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:38        tunl0  42376.00  27607.00 1414905.60   1698.37      0.00      0.00      0.00      0.00
11:02:38    califa14f7c081d      5.00      5.00      0.82      0.88      0.00      0.00      0.00      0.00
11:02:38    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:38    cali707a268ff9b      8.00      6.00      1.39      2.22      0.00      0.00      0.00      0.00
11:02:38    calidf3b84ec6b9      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:38    cali0a62d08c15c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:38    califeb94a1384e  27597.00  42358.00   2075.18 1415114.39      0.00      0.00      0.00    115.93

11:02:38        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:39           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:39    enp23s0f0np0 324248.00   9319.00 477958.25    871.96      0.00      0.00      0.00      3.92
11:02:39    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:39    eno12399np0    363.00     22.00     26.90      4.18      0.00      0.00      0.00      0.00
11:02:39    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:39        tunl0  14267.00   9318.00 451450.90    562.51      0.00      0.00      0.00      0.00
11:02:39    califa14f7c081d      7.00      9.00      0.61      1.86      0.00      0.00      0.00      0.00
11:02:39    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:39    cali707a268ff9b      8.00     10.00      1.49      3.41      0.00      0.00      0.00      0.00
11:02:39    calidf3b84ec6b9     12.00     13.00      2.56      5.23      0.00      0.00      0.00      0.00
11:02:39    cali0a62d08c15c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:39    califeb94a1384e   9317.00  14256.00    689.85 451642.47      0.00      0.00      0.00     37.00

11:02:39        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:40           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:40    enp23s0f0np0 298901.00   8282.00 440313.13    773.09      0.00      0.00      0.00      3.61
11:02:40    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:40    eno12399np0    215.00      4.00     13.17      0.76      0.00      0.00      2.00      0.00
11:02:40    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:40        tunl0  12362.00   8281.00 415837.87    498.05      0.00      0.00      0.00      0.00
11:02:40    califa14f7c081d      5.00      4.00      0.82      0.82      0.00      0.00      0.00      0.00
11:02:40    calie519df70ce6      1.00      1.00      0.04      0.04      0.00      0.00      0.00      0.00
11:02:40    cali707a268ff9b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:40    calidf3b84ec6b9      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:40    cali0a62d08c15c      5.00      6.00      0.42      0.50      0.00      0.00      0.00      0.00
11:02:40    califeb94a1384e   8280.00  12361.00    611.21 416006.81      0.00      0.00      0.00     34.08

11:02:40        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:41           lo     10.00     10.00      1.31      1.31      0.00      0.00      0.00      0.00
11:02:41    enp23s0f0np0     14.00     12.00      1.57      1.18      0.00      0.00      0.00      0.00
11:02:41    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:41    eno12399np0    296.00     15.00     22.34      2.78      0.00      0.00      0.00      0.00
11:02:41    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:41        tunl0     12.00     10.00      0.92      0.70      0.00      0.00      0.00      0.00
11:02:41    califa14f7c081d      3.00      3.00      0.22      0.79      0.00      0.00      0.00      0.00
11:02:41    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:41    cali707a268ff9b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:41    calidf3b84ec6b9     12.00     12.00      2.56      5.09      0.00      0.00      0.00      0.00
11:02:41    cali0a62d08c15c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:41    califeb94a1384e      9.00     11.00      0.79      1.02      0.00      0.00      0.00      0.00

11:02:41        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:42           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:42    enp23s0f0np0     14.00     12.00      1.58      1.30      0.00      0.00      0.00      0.00
11:02:42    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:42    eno12399np0    165.00      3.00     10.24      0.70      0.00      0.00      2.00      0.00
11:02:42    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:42        tunl0     14.00     12.00      1.12      0.90      0.00      0.00      0.00      0.00
11:02:42    califa14f7c081d      4.00      5.00      0.75      0.88      0.00      0.00      0.00      0.00
11:02:42    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:42    cali707a268ff9b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:42    calidf3b84ec6b9      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:42    cali0a62d08c15c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:42    califeb94a1384e     11.00     13.00      1.02      1.24      0.00      0.00      0.00      0.00

11:02:42        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:43           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:43    enp23s0f0np0     15.00     12.00      1.72      3.19      0.00      0.00      0.00      0.00
11:02:43    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:43    eno12399np0    147.00     15.00     13.61      2.77      0.00      0.00      2.00      0.00
11:02:43    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:43        tunl0     15.00     11.00      1.22      2.74      0.00      0.00      0.00      0.00
11:02:43    califa14f7c081d      2.00      3.00      0.15      0.79      0.00      0.00      0.00      0.00
11:02:43    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:43    cali707a268ff9b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:43    calidf3b84ec6b9     12.00     12.00      2.56      5.09      0.00      0.00      0.00      0.00
11:02:43    cali0a62d08c15c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:43    califeb94a1384e     10.00     14.00      2.83      1.35      0.00      0.00      0.00      0.00

11:02:43        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:44           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:44    enp23s0f0np0     31.00     27.00      3.08      2.61      0.00      0.00      0.00      0.00
11:02:44    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:44    eno12399np0    194.00      5.00     11.98      0.82      0.00      0.00      0.00      0.00
11:02:44    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:44        tunl0     31.00     27.00      2.05      1.71      0.00      0.00      0.00      0.00
11:02:44    califa14f7c081d      5.00      6.00      0.82      0.98      0.00      0.00      0.00      0.00
11:02:44    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:44    cali707a268ff9b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:44    calidf3b84ec6b9      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:44    cali0a62d08c15c      5.00      5.00      0.42      0.44      0.00      0.00      0.00      0.00
11:02:44    califeb94a1384e     26.00     30.00      2.03      2.40      0.00      0.00      0.00      0.00

11:02:44        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:45           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:45    enp23s0f0np0     14.00     11.00      1.48      1.12      0.00      0.00      0.00      0.00
11:02:45    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:45    eno12399np0    363.00     14.00     26.30      2.68      0.00      0.00      2.00      0.00
11:02:45    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:45        tunl0     14.00     11.00      1.02      0.75      0.00      0.00      0.00      0.00
11:02:45    califa14f7c081d      4.00      4.00      0.25      0.86      0.00      0.00      0.00      0.00
11:02:45    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:45    cali707a268ff9b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:45    calidf3b84ec6b9     12.00     13.00      2.56      5.19      0.00      0.00      0.00      0.00
11:02:45    cali0a62d08c15c      5.00      6.00      0.42      0.50      0.00      0.00      0.00      0.00
11:02:45    califeb94a1384e      8.00     11.00      0.72      1.01      0.00      0.00      0.00      0.00

11:02:45        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:46           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:46    enp23s0f0np0     15.00     13.00      1.83      3.27      0.00      0.00      0.00      0.00
11:02:46    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:46    eno12399np0    308.00      5.00     18.78      0.83      0.00      0.00      0.00      0.00
11:02:46    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:46        tunl0     15.00     12.00      1.34      2.79      0.00      0.00      0.00      0.00
11:02:46    califa14f7c081d      5.00      4.00      0.82      0.82      0.00      0.00      0.00      0.00
11:02:46    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:46    cali707a268ff9b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:46    calidf3b84ec6b9      1.00      1.00      0.06      0.22      0.00      0.00      0.00      0.00
11:02:46    cali0a62d08c15c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:46    califeb94a1384e     18.00     24.00      3.50      2.24      0.00      0.00      0.00      0.00

11:02:46        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:47           lo     10.00     10.00      1.31      1.31      0.00      0.00      0.00      0.00
11:02:47    enp23s0f0np0     22.00     22.00      7.68      2.68      0.00      0.00      0.00      0.00
11:02:47    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:47    eno12399np0    321.00     16.00     23.96      2.81      0.00      0.00      0.00      0.00
11:02:47    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:47        tunl0     14.00     11.00      1.11      0.85      0.00      0.00      0.00      0.00
11:02:47    califa14f7c081d      2.00      2.00      0.12      0.73      0.00      0.00      0.00      0.00
11:02:47    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:47    cali707a268ff9b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:47    calidf3b84ec6b9     14.00     13.00      2.68      5.31      0.00      0.00      0.00      0.00
11:02:47    cali0a62d08c15c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:47    califeb94a1384e     10.00     13.00      0.95      1.23      0.00      0.00      0.00      0.00

11:02:47        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
11:02:48           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:48    enp23s0f0np0 216436.00   6014.00 319129.91    578.28      0.00      0.00      1.00      2.61
11:02:48    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:48    eno12399np0    449.00     14.00     27.83      1.80      0.00      0.00      3.00      0.00
11:02:48    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:48        tunl0   9853.00   6014.00 301452.75    378.59      0.00      0.00      0.00      0.00
11:02:48    califa14f7c081d      5.00      4.00      0.82      0.84      0.00      0.00      0.00      0.00
11:02:48    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:02:48    cali707a268ff9b      1.00      1.00      0.06      0.22      0.00      0.00      0.00      0.00
11:02:48    calidf3b84ec6b9      4.00      3.00      0.38      0.46      0.00      0.00      0.00      0.00
